variant	ins_number
ins 631	631
ins 941	941
ins 999	999
ins 420i	420i
talc ins 553	553
color ins 102	102
color ins 110	110
color ins 100	100
color ins 162	162
color ins 163	163
color ins 171	171
color ins 141	141
color ins 160	160
color ins 129	129
color ins 133	133
color ins 132	132
color ins 127	127
color ins 124	124
color ins 122	122
color ins 101	101
color ins 150a	150a
color ins 150c	150c
color ins 150d	150d
color ins 160b	160b
color ins 160c	160c
colour ins 100	100
color ins 163c	163c
color ins 160a	160a
color ins e122	122
datem ins 472e	472e
color ins 161g	161g
color ins 100 i	100
enzyme ins 1100	1100
mineral ins 224	224
mineral ins 202	202
gelatin ins 428	428
enzyme ins 1104	1104
caramel ins 150c	150c
annatto ins 160b	160b
curcumin ins 100	100
beet red ins 162	162
diluent ins 1520	1520
improver ins 472	472
color ins 160b ii	160b
color ins 160a ii	160a
sweetener ins 960	960
coagulant ins 575	575
humectant ins 451	451
humectant ins 452	452
thickener ins 415	415
sweetener ins 950	950
thickener ins 466	466
thickener ins 414	414
cake gel ins 470a	470a
thickener ins 508	508
improver ins 1100	1100
improver ins 1102	1102
improver ins 1104	1104
humectant ins 422	422
thickener ins 412	412
acidulant ins 296	296
thickener ins 440	440
sweetener ins 955	955
pullulan ins 1204	1204
thaumatin ins 957	957
color ins 160a iii	160a
thickener ins 1422	1422
thickener ins 1405	1405
thickener ins 1412	1412
thickener ins 1442	1442
thickener ins 1401	1401
thickener ins 1440	1440
sweetener ins 960a	960a
sweetener ins e960	960
stabilizer ins 450	450
texturizer ins 451	451
emulsifier ins 452	452
stabilizer ins 452	452
stabilizer ins 339	339
stabilizer ins 340	340
stabilizer ins 341	341
stabilizer ins 170	170
emulsifier ins 415	415
stabilizer ins 415	415
maltitol ins 965 i	965
emulsifier ins 442	442
stabilizer ins 466	466
stabilizer ins 460	460
flavouring ins 627	627
flavouring ins 631	631
acacia gum ins 414	414
emulsifier ins 414	414
stabilizer ins 414	414
emulsifier ins 400	400
emulsifier ins 429	429
emulsifier ins 436	436
emulsifier ins 478	478
emulsifier ins 479	479
emulsifier ins 481	481
stabilizer ins 400	400
stabilizer ins 436	436
stabilizer ins 481	481
emulsifier ins 491	491
stabilizer ins 491	491
emulsifier ins 433	433
stabilizer ins 433	433
emulsifier ins 475	475
stabilizer ins 475	475
emulsifier ins 476	476
emulsifier ins 477	477
stabilizer ins 477	477
emulsifier ins 492	492
stabilizer ins 508	508
stabilizer ins 516	516
emulsifier ins 445	445
stabilizer ins 445	445
stabilizer ins 412	412
emulsifier ins 322	322
stabilizer ins 322	322
malic acid ins 296	296
emulsifier ins 471	471
stabilizer ins 471	471
emulsifier ins 440	440
stabilizer ins 440	440
stabilizer ins 435	435
stabilizer ins 401	401
stabilizer ins 331	331
emulsifier ins 420	420
stabilizer ins 444	444
stabilizer ins 417	417
stabilizer ins 337	337
stabilizer ins 472	472
stabilizer ins 418	418
stabilizer ins 406	406
propellant ins 941	941
food color ins 150d	150d
annatto ins 160b ii	160b
stabilizer ins 1422	1422
emulsifier ins 1450	1450
stabilizer ins 1450	1450
stabilizer ins 1400	1400
stabilizer ins 1404	1404
aregulators ins 341	341
humectant ins 451 i	451
sequestrant ins 451	451
sequestrant ins 452	452
antioxidant ins 330	330
acetic acid ins 260	260
emulsifier ins 4806	4806
stabilizer ins 4806	4806
stabilizer ins 1202	1202
stabilizer ins e440	440
stabilizer ins 1201	1201
sequestrant ins 385	385
antioxidant ins 386	386
emulsifier ins 4726	4726
emulsifier ins 472b	472b
emulsifier ins 472c	472c
stabilizer ins 1102	1102
stabilizer ins 1505	1505
stabilizer ins 1204	1204
rising agent ins 575	575
texturizer ins 451 i	451
emulsifier ins 452 i	452
stabilizer ins 452 i	452
preservative ins 341	341
rising agent ins 503	503
stabilizer ins 170 i	170
emulsifier ins 460 i	460
stabilizer ins 460 i	460
preservative ins 212	212
preservative ins 224	224
preservative ins 202	202
preservative ins 211	211
preservative ins 200	200
humectant ins 420 ii	420
