variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
oil,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
snf,milk,NULL,powder,base ingredient,NULL,concentrate,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient
soy,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
tvp,soybean,NULL,protein concentrate,base ingredient,?extrusion,NULL,NULL,0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True,,,,,,,textured_plant_protein,,,processed_ingredient
oat,oat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
wpc,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,whey_concentrate,,,processed_ingredient
dha,algae | fish,NULL,oil,lipid base,solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
egg,egg,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
hvp,soybean,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True,,,,,,,hydrolysate,,,processed_ingredient
tea,tea,NULL,NULL,flavouring agent,fermentation,whole/fresh pieces|powder,taste profile / spice,0,0,0.675,0.56,0.42,0.675,0.27,0.564,1,True,False,,,,,,,,,,flavouring agent
fig,fig,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
bht,synthetic,NULL,crystalline chemical,antioxidant|preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,,,,,,,,,,antioxidant|preservative
fos,sugarcane | chicory,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
rye,rye,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
tvp,soybean,NULL,protein concentrate,base ingredient,?extrusion,NULL,NULL,0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True,,,,,,,textured_plant_protein,,,processed_ingredient
palm,palm,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
oils,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material
sait,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,fr,raw_agricultural_material
salz,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,de,raw_agricultural_material
date,date,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
ragi,ragi,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
mint,mint,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
soya,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
urad,urad,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
zinc,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,mineral_nutrient,,,,,,,raw_agricultural_material
oats,oats,NULL,NULL,base ingredient,milling,flour/fine powder|flakes,NULL,0,0,0.12,0.28,0.36,0.12,0.048,0.24,1,False,False,,,,,,,,,,raw_agricultural_material
hing,asafoetida,NULL,extract/oleoresin,taste profile / spice,?compounding,NULL,flavouring agent,0,0.86,0.18,0.35,0.86,0.675,0.33,0.633,2,False,True,,,,,,,,,,taste profile / spice
peas,peas,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
whey,milk,NULL,whey powder,base ingredient,NULL,NULL,NULL,0,0.52,0.12,0,0.52,0.12,0.204,0.204,1,False,False,,,,,,,,,,processed_ingredient
amra,hog plum,NULL,whole/fresh pieces,base ingredient,NULL,NULL,acidity regulator,0,0.05,0.12,0,0.05,0.86,0.063,0.359,1,True,False,,,,,,,,,,raw_agricultural_material
พริก,chili,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
curd,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient
dahi,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient
ghee,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base
lime,lime,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False,,,,,,,,,,flavouring agent
mace,mace,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
monk,monk fruit,NULL,whole/fresh pieces,sweetener,NULL,NULL,flavouring agent,0,0.05,0.625,0,0.05,0.675,0.265,0.285,1,False,False,,,,,,,,,,sweetener
okra,okra,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
plum,plum,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
rice,rice,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
paua,abalone,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
poha,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False,,,,,,,,,,raw_agricultural_material
sago,sago,NULL,starch flour,base ingredient,NULL,NULL,thickener,0,0.6,0.12,0,0.6,0.615,0.228,0.426,1,True,False,,,,,,,,,,processed_ingredient
rava,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material
tbhq,synthetic,NULL,crystalline chemical,antioxidant|preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,,,,,,,,,,antioxidant|preservative
atta,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,whole,,,,,raw_agricultural_material
figs,fig,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
balm,balm,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
bran,wheat,milling,skim/defatted meal,base ingredient,NULL,NULL,NULL,0.28,0.55,0.12,0.28,0.55,0.12,0.297,0.297,1,False,False,,,,,bran,,,,,processed_ingredient
kale,kale,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
khoa,milk,NULL,dense block,base ingredient,concentration,concentrate,NULL,0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False,,,,heat_concentrated,,,,,,processed_ingredient
carot,carrot,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
cream,milk,churning,fat fraction,lipid base,NULL,NULL,NULL,0.45,0.72,0.22,0.45,0.72,0.22,0.439,0.439,2,False,False,,,,,,,,,,lipid base
dates,date,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
maida,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,refined,,,,,raw_agricultural_material
mango,mango,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material
dairy,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
khoya,milk,NULL,dense block,base ingredient,concentration,concentrate,NULL,0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False,,,,heat_concentrated,,,,,,processed_ingredient
bajra,pearl millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
jowar,sorghum,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
pista,pistachio,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False,,,,,,,,,,raw_agricultural_material
sugar,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,,sweetener
sucre,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,fr,sweetener
đường,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,vi,sweetener
kakvi,sugarcane,NULL,concentrate,sweetener,concentration,NULL,NULL,0,0.4,0.625,0.48,0.4,0.625,0.37,0.514,2,False,False,,,,,,,,,,sweetener
